"siteslist","cc","meanmat","varmat","varlogmat","sdmat","meanlo","varlo","varloglo","sdlo","meanutah","meangdd","matslope","matslopese","matslopeconfint11","matslopeconfint89","matslopelog","matslopelogse","matslopelogconfint11","matslopelogconfint89","meanmatlo","varmatlo","sdmatlo","matslopelog_exp"
12,"1970-1990",6.15888100987926,1.37863166602917,0.037415660959871,1.17415146639144,108.95,79.6289473684211,0.00701620695571757,8.92350532965723,2077.2,70.9483186899332,-4.49230498046834,1.44488759397668,-6.92139883824088,-2.0632111226958,-0.239698883304731,0.0850049145675922,-0.382606135548708,-0.0967916310607549,7.24436274130168,1.33661794363043,1.15612194150549,0.786864763514335
13,"1950-1970",5.54973348251116,2.2900738144244,0.0910952959047501,1.51329898381794,121.7,22.8526315789474,0.00150642467350228,4.78044261328879,2163.6,85.0182128200729,-1.45852381228392,0.660458667743653,-2.56886353685258,-0.348184087715262,-0.0569656935375986,0.0271740374317581,-0.102649723002267,-0.01128166407293,7.66807240925038,0.990663933683637,0.995321020416849,0.944626475603317
13,"1990-2010",6.5460449356517,0.695496996359745,0.0174154192873148,0.833964625364736,111.8,31.1157894736842,0.00251393525078867,5.57815287292166,2334.6,66.7170513905316,-2.53493123733092,1.45893893714046,-4.98764771565532,-0.0822147590065168,-0.143489309655341,0.0829196184975866,-0.282890835989286,-0.00408778332139648,7.11539500224885,0.997175111441746,0.998586556810048,0.866330061504687
13,"1970-1990",5.63967610345161,1.44298207419083,0.0458093515067913,1.20124188829346,122.5,120.578947368421,0.00835589993076202,10.980844565352,2181,91.6981243967899,-3.96689069177729,1.94116388895906,-7.23030668292907,-0.703474700625516,-0.174717172610461,0.0918573458079928,-0.329144489602903,-0.020289855618019,7.95512885444707,0.696589383942999,0.8346193047989,0.83969447578483
14,"1950-1970",5.26309824301632,2.97049210302528,0.131068959419728,1.72351156161637,117.85,56.2394736842105,0.00440497328654892,7.49929821278035,1881,68.4879134759376,-3.71456414072607,0.534099761011935,-4.61247374581941,-2.81665453563272,-0.139621291817557,0.028001938034582,-0.18669715845873,-0.0925454251763851,6.79082242885845,0.641088565732912,0.800680064528218,0.869687530825526
14,"1990-2010",6.41673756149277,0.853642921852763,0.0217835251431355,0.923927985209217,112.85,25.7131578947368,0.00207833803630853,5.07081432264452,2179.8,63.0553927262978,-3.8532992146119,0.921163634704328,-5.40192689775596,-2.30467153146783,-0.21101806001364,0.0531664516676195,-0.300399615868745,-0.121636504158535,6.61599985212088,0.859376651434448,0.927025701604032,0.809759442482642
14,"1970-1990",5.15097119634223,1.41912809203252,0.0548433427082366,1.1912716281489,114.9,76.2,0.00598453508955144,8.72926113711808,2160,65.9207652734879,-4.75439964185353,1.3142514901436,-6.96387270784468,-2.54492657586237,-0.201598409297789,0.0616795571528168,-0.305291896635224,-0.0979049219603542,6.77555630016742,1.32339552787888,1.15038929405609,0.817423131565473
15,"1950-1970",5.50912282768118,3.0660960828955,0.122492329416972,1.7510271508162,126.1,94.6210526315789,0.00653557109273876,9.72733533047869,1822.2,79.1106714519987,-3.58396091429146,1.00043482574664,-5.2658565167269,-1.90206531185602,-0.134791500771407,0.0442129901747441,-0.209120814217614,-0.0604621873252,7.43951596274611,0.625222563649036,0.790710164124021,0.873898099774008
15,"1990-2010",6.40697936498957,0.927985716641803,0.0263687485256502,0.963320152722761,111.3,50.5368421052632,0.00398990937848847,7.10892693064594,2185.8,58.4719286630329,-3.88419500608859,1.47895742839939,-6.37056586303846,-1.39782414913872,-0.199533974125907,0.0787041727434122,-0.331848642331977,-0.0672193059198364,6.72895146249944,0.747973224956112,0.864854453047512,0.819112391712664
15,"1970-1990",5.53211872880652,1.19294586406391,0.0398628086016277,1.09222061144437,125.65,83.7131578947368,0.00547652188451647,9.14948948820298,2229,95.6953066300761,-5.00223763842255,1.58379106634551,-7.66485109520124,-2.33962418164385,-0.214011907857571,0.0713298865316189,-0.333929187216787,-0.0940946284983542,8.10970949615322,1.47311516389633,1.21371955735101,0.807338771290342
16,"1950-1970",5.75756134671831,2.65931806304187,0.0881740814224707,1.63074156844114,115.2,120.273684210526,0.00885797546386013,10.9669359536074,1927.8,99.8726842836323,-4.63816049611317,1.14781756097457,-6.5678307340125,-2.70849025821383,-0.21451967197024,0.0549956526035585,-0.306976415664623,-0.122062928275856,8.1137578831595,1.19979751222279,1.0953526885085,0.806928937693716
16,"1990-2010",7.53286458572571,1.14849319642352,0.0213432071446594,1.07167774840365,100.15,34.8710526315789,0.00346717276561825,5.90517168519078,2181.6,52.7596672401617,-3.31265658277365,1.03785953970273,-5.05746928905759,-1.56784387648972,-0.247576871713891,0.0749645209147477,-0.373604569691215,-0.121549173736568,6.06462083218709,1.81277193625562,1.34639219258566,0.7806902055101
16,"1970-1990",6.1224834697092,1.13404443727439,0.0299269729477751,1.06491522539326,112.55,133.839473684211,0.0120786810403012,11.5689011441973,2610,70.7976467059665,-7.88161611005828,1.76225439542987,-10.8442557960908,-4.91897642402575,-0.437284259395538,0.108624646193552,-0.619900168045751,-0.254668350745324,7.4293788661985,0.555707750159295,0.745458080752563,0.64578783405787
17,"1950-1970",5.48154086108457,2.81843420942817,0.1270410944412,1.67881929028355,113.65,137.186842105263,0.0100978992242527,11.7126786904304,2259,78.2463357990083,-5.03003931702928,1.13953078248007,-6.94577811636854,-3.11430051769003,-0.194003804156563,0.0482169989450824,-0.275064515360659,-0.112943092952467,7.48817725198103,0.659045534643741,0.811816195110532,0.823654770950915
17,"1990-2010",6.4958605105439,0.85804465145415,0.022448207171704,0.926306996332291,100.3,62.9578947368421,0.00637602714847513,7.93460110760724,2562,45.1792895678295,-5.29704265876481,1.58666352067536,-7.96448518404575,-2.62960013348386,-0.326296892402696,0.0993207873723653,-0.493271483063649,-0.159322301741743,6.39834663117935,0.906504493883778,0.952105295586459,0.721590920763988
17,"1970-1990",5.62829495616501,1.25363755806856,0.038877850665647,1.11965957240072,112.15,112.871052631579,0.00955768986251511,10.6240789074432,2197.2,72.6674072532875,-6.10086074287905,1.71293015269726,-8.98057825866073,-3.22114322709738,-0.310939856526591,0.0910297120143815,-0.463975784892729,-0.157903928160452,7.05945951962814,1.36415762365238,1.16797158512199,0.732757945152069
