"siteslist","cc","meanmat","varmat","varlogmat","sdmat","meanlo","varlo","varloglo","sdlo","meanutah","meangdd","matslope","matslopese","matslopeconfint11","matslopeconfint89","matslopelog","matslopelogse","matslopelogconfint11","matslopelogconfint89","meanmatlo","varmatlo","sdmatlo","matslopelog_exp"
7,"1970-1990",5.27194250511372,1.14734550529461,0.0414107677054741,1.07114214990104,123.6,38.5684210526316,0.00254588493940905,6.21034790109472,2577,64.407555317667,-3.00700614738527,1.16840975283979,-4.97129524905395,-1.04271704571659,-0.125116995130071,0.0504560054980604,-0.209941844865098,-0.0402921453950448,7.16661274303953,0.669072328926875,0.817968415604707,0.882393660784202
8,"1950-1970",5.07674578816523,3.09609002206301,0.144419585896001,1.75957097670512,117.95,69.7342105263158,0.00533956948652421,8.35070119967873,2184.6,72.6038941356475,-3.78355618121752,0.675278441491534,-4.91881038462497,-2.64830197781007,-0.136763185892878,0.0318577080986166,-0.190321236628214,-0.0832051351575423,7.2069675808472,0.797661409656394,0.893118922460158,0.872176745435025
8,"1990-2010",6.20114740237716,1.12631295541297,0.0285509808955339,1.0612789244176,114.2,37.2888888888889,0.00305924288641163,6.10646287869573,2536.8,59.6463413873832,-4.39347996584324,1.31360070603271,-6.75446122975131,-2.03249870193517,-0.238888696811142,0.0791220383246986,-0.38109755007144,-0.0966798435508443,6.66679017356627,0.674775530304598,0.821447216992424,0.787502529037636
8,"1970-1990",5.00859415034428,1.51107108570167,0.0622064395094417,1.22925631407842,120.6,46.1473684210526,0.00336426263637499,6.79318543991349,2074.8,66.2730374985796,-2.04911014768746,1.20969822236163,-4.0828119622415,-0.0154083331334269,-0.0807734378983448,0.0514014031274509,-0.167187656650227,0.0056407808535371,6.78603210638487,1.35512035510682,1.16409636847935,0.922402649255541
9,"1950-1970",6.43514329878628,2.47395458033123,0.0723334675848718,1.57288098098083,118.7,46.9578947368421,0.00360501680230323,6.85258307040798,1776,66.2285722308713,-3.08242811199132,0.725700469077739,-4.30245004267158,-1.86240618131106,-0.147591068786944,0.0394797598496494,-0.213963043020025,-0.0812190945538635,6.83222565373947,1.13138412599365,1.06366542013626,0.862783862063794
9,"1990-2010",7.41581950637466,1.1381874539714,0.0216943651359293,1.06685868509911,111.7,35.1222222222222,0.00300729689370658,5.92640044396447,2090.4,68.9553640705552,-3.13899039259126,1.62036913167448,-6.05133745736452,-0.226643327818007,-0.200737724811133,0.110863357364771,-0.399996379583546,-0.00147907003872014,6.75427404257859,1.25374509512677,1.1197075935827,0.818126977825174
9,"1970-1990",6.49285231388983,1.04493849810437,0.0241993740560664,1.02222233300998,121,18.2105263157895,0.00125853836504341,4.26737932644726,2395.2,97.4613932006639,-1.28778873027656,0.935977410088999,-2.86132080802359,0.285743347470478,-0.069218160538705,0.0512162674903582,-0.155321135813384,0.016884814735974,8.17748368818673,1.14734799734309,1.07114331316733,0.933123087235658
10,"1950-1970",7.08395475969406,2.08631772514406,0.0458267221213906,1.44440912664801,114.45,30.3657894736842,0.00236004747370297,5.51051626199254,1881,78.8809311454295,-2.67911204726489,0.640186076186419,-3.75537020878457,-1.60285388574521,-0.152487637122838,0.0396140364526173,-0.219085352425931,-0.0858899218197447,7.2666208053203,0.932340684743707,0.965577901954942,0.858569508280149
10,"1990-2010",8.40222112367113,1.22307553200943,0.0167962689811024,1.10592745332116,98.6,22.7111111111111,0.00230312659007572,4.7656176001764,2248.8,77.0228123829539,-2.06714542385801,1.33677615459035,-4.46978074563615,0.335489897920132,-0.185890045641661,0.113228867731745,-0.389400316320152,0.0176202250368306,7.10956435721788,0.808039188354646,0.898910000141642,0.830364892201486
10,"1970-1990",7.04956131783986,0.945104189970947,0.0183620030933021,0.972164692822645,113.2,36.6947368421053,0.00299807883841579,6.05761808321598,2547,93.2051306639231,-2.60058059553217,1.33464746051174,-4.8443426446602,-0.356818546404136,-0.173550011083927,0.0860092483531651,-0.318145713723532,-0.0289543084443218,8.17756433334622,1.1332725954311,1.06455276780022,0.840675107037221
11,"1950-1970",5.90692609747811,2.48350854009098,0.0873745761667055,1.5759151436835,116.35,58.2394736842105,0.00453840203691843,7.63147912820382,2424.6,90.9970536674743,-3.73260423529302,0.727176738928273,-4.95510801856949,-2.51010045201654,-0.16001891082581,0.0382505296611077,-0.224324346794445,-0.0957134748571741,8.00533853074415,1.14051864089282,1.06795067343619,0.852127674375824
11,"1990-2010",7.01790148248194,1.09440876173036,0.0214154276825168,1.04613993410555,113.1,35.8777777777778,0.00293667228410146,5.98980615527563,2738.4,74.2852018216257,-3.93966734530533,1.46892034885945,-6.57981012682428,-1.29952456378637,-0.246451137211644,0.0977181245483379,-0.422083397565435,-0.0708188768578527,7.62903208754236,0.435638233502675,0.660028964139207,0.781569550271513
11,"1970-1990",5.93379085097599,1.25725491124636,0.0350924120068611,1.12127378960108,119.55,40.2605263157895,0.0029695068323091,6.34511830589387,2313,82.0051038088917,-0.737825547916459,1.32241735351101,-2.96102677423778,1.48537567840486,-0.0425537284615467,0.067826907025679,-0.156581922720127,0.071474465797034,7.48291112306648,1.44859920265865,1.20357766789628,0.958338974058964
12,"1950-1970",4.5566474391346,2.98828264120507,0.303675058009865,1.72866498813537,120.05,73.2078947368421,0.00533031783883952,8.55616121498667,2175.6,112.56710904997,-3.75710620796445,0.759476051490258,-5.03391045176233,-2.48030196416657,-0.0783446523510227,0.0251824647789981,-0.120680520395873,-0.0360087843061725,8.6130078720004,1.14509805186889,1.07009254360027,0.92464569030907
12,"1990-2010",5.74717200268823,0.986863512947273,0.0308847681961398,0.993410042705062,116.7,11.7888888888889,0.000876196300661938,3.43349514181816,2458.8,97.4676535128769,-0.495835012915033,1.20933672792392,-2.66941892107804,1.67774889524798,-0.0243090372444277,0.0589267793958195,-0.130220233437489,0.0816021589486334,8.15451594676462,0.867224108532317,0.931248682432527,0.975984047727194
12,"1970-1990",4.63188104401037,1.96517668938493,0.103440460233678,1.40184759848742,125.25,67.7763157894737,0.00497540696645782,8.23263723174255,2091,77.1513496895725,-1.62093395761702,1.33043926966892,-3.85762134531724,0.615753430083191,-0.053926962979135,0.0501060637761216,-0.138163503083099,0.0303095771248288,7.00787887561976,0.88173759483212,0.939008836397252,0.947501306647385
13,"1950-1970",6.29815559693017,2.51096165064749,0.0768166943648937,1.584601416965,127.05,64.9973684210526,0.00405723979809634,8.06209454304851,1798.8,75.195123347724,-2.39656086603184,1.05782650558764,-4.17494132830703,-0.618180403756647,-0.0907294208431868,0.0497690969999188,-0.1743994643354,-0.0070593773509733,7.06733855171009,0.674674830182528,0.821385920370277,0.913264787887071
13,"1990-2010",7.42666376842736,0.969812018890341,0.0174462058710557,0.984790342606151,110.1,40.1,0.00328778673437724,6.33245607959503,2180.4,66.2557604500169,-3.69756267344284,1.85998150319975,-7.04057357477896,-0.354551772106726,-0.250005235214489,0.125474202846418,-0.475524482169595,-0.0244859882593826,6.68795146341586,1.51952253613032,1.23268914821634,0.778796705892934
13,"1970-1990",6.47047526520967,1.1306967935394,0.026381061503285,1.06334227487644,124.35,96.3447368421053,0.00595406613293277,9.81553548422628,2345.4,115.378469801034,-2.20717085992067,2.11261664700072,-5.75882715654211,1.34448543670077,-0.106723558405279,0.109113803015874,-0.290161820183545,0.0767147033729875,8.83779818955659,2.02108656629918,1.42164924165533,0.898774097196055
14,"1950-1970",6.16990559979678,2.52792908844893,0.0827138311695068,1.58994625332083,118.75,61.9868421052632,0.00467528097322375,7.87317230252604,2346,103.829415348123,-3.24028511233415,0.882589366033766,-4.72406310095088,-1.75650712371742,-0.13881579903513,0.0454934325536478,-0.215297746866734,-0.0623338512035271,8.51062884203068,1.14256213715943,1.0689069824636,0.870388340065073
