"site","year","gddreq","leafout_date"
9,6,200,129
9,7,200,135
9,8,200,136
9,9,200,138
9,10,200,131
9,11,217.545147556932,135
9,12,200,134
9,13,200,131
9,14,200,130
9,15,208.956093099915,135
9,16,219.461714458404,136
9,17,200,136
9,18,200,134
9,19,200,137
9,20,200,135
9,21,200,135
9,22,207.52679377004,136
9,23,200,137
9,24,200,136
9,25,200,132
9,26,200,136
9,27,200,131
9,28,200,133
9,29,200,137
9,30,200,132
9,31,200,139
9,32,200,142
9,33,200,137
9,34,200,132
9,35,200,134
9,36,200,134
9,37,200,129
9,38,240.5971019324,140
9,39,200,134
9,40,200,134
9,41,251.810516084234,142
9,42,232.383372181547,140
9,43,200,135
9,44,200,137
9,45,200,130
9,46,229.649485528551,136
9,47,200,137
9,48,223.198568568098,138
9,49,200,139
9,50,211.292996917965,136
10,1,200,133
10,2,200,138
10,3,200,134
10,4,203.879769690913,133
10,5,200,134
10,6,212.749676121704,136
10,7,200,135
10,8,277.835957647118,145
10,9,237.898788559588,144
10,10,200,134
10,11,200,137
10,12,200,141
10,13,206.184690739319,128
10,14,237.058819825923,139
10,15,200,138
10,16,244.665561027988,144
10,17,200,135
10,18,200,137
10,19,200,134
10,20,200,137
10,21,200,133
10,22,200,136
10,23,200,133
10,24,201.094712699487,134
10,25,213.774326040568,145
10,26,215.755058848732,133
10,27,200,140
10,28,200,141
10,29,200,135
10,30,200,135
10,31,200,135
10,32,200,136
10,33,218.702308716439,140
10,34,200,133
10,35,214.516884044741,142
10,36,200,136
10,37,254.840706631204,138
10,38,238.034504059687,143
10,39,212.496803732654,138
10,40,223.86541715788,140
10,41,200,139
10,42,249.780081178095,145
10,43,200,137
10,44,200,135
10,45,200,140
10,46,200.440369494847,132
10,47,200,135
10,48,248.030114817446,146
10,49,224.186793499222,139
10,50,200,136
11,1,200,137
11,2,200,136
11,3,200,134
11,4,200,135
11,5,200,134
11,6,200,141
11,7,200,132
11,8,200,136
11,9,274.598229492651,142
11,10,200,131
11,11,220.114264587179,134
11,12,200,137
11,13,200,142
11,14,257.262910759999,142
11,15,200,133
11,16,200,135
11,17,203.964832435097,137
11,18,200,138
11,19,200,134
11,20,200,134
11,21,202.112915688618,135
11,22,200,138
11,23,203.965069906984,131
11,24,200,134
11,25,200,138
11,26,200,135
11,27,200,137
11,28,200,133
11,29,231.993728476887,138
11,30,214.805694332993,140
11,31,200,135
11,32,200,135
11,33,200,130
11,34,213.366159868418,136
11,35,200,130
11,36,205.477896527856,136
11,37,221.074392261774,136
11,38,200,135
11,39,200,136
11,40,200,129
11,41,214.515065841941,135
11,42,200,133
11,43,200,135
11,44,231.451143119192,138
11,45,200,137
11,46,200.648681245573,131
11,47,220.135606897412,142
11,48,200,136
11,49,200,136
11,50,200,135
12,1,249.186977398348,142
12,2,200,137
12,3,202.395791321621,135
12,4,202.135810531913,136
12,5,265.257961484044,141
12,6,200,137
12,7,208.541748846822,138
12,8,200,135
12,9,200,134
12,10,200,134
12,11,200,137
12,12,200,130
12,13,227.427362904892,134
12,14,200,139
12,15,200,134
12,16,239.13636976752,139
12,17,200,130
12,18,200,136
12,19,200,138
12,20,200,132
12,21,200,139
12,22,205.982583498718,142
12,23,221.84035117239,143
12,24,200,137
12,25,200,141
12,26,200,134
12,27,205.68674367171,140
12,28,200,135
12,29,200,127
12,30,273.202006224445,146
12,31,200,136
12,32,200,133
12,33,200,135
12,34,200,142
12,35,200,137
12,36,234.659139512506,141
12,37,200,137
12,38,200,137
12,39,209.976050200425,139
12,40,200,137
12,41,200,134
12,42,200,133
12,43,240.639488023651,141
12,44,200,131
12,45,200,132
12,46,221.018017970049,138
12,47,200,137
12,48,200,140
12,49,200,139
12,50,200,133
13,1,258.608665641328,143
13,2,200,130
13,3,200,137
13,4,200,132
13,5,200,132
13,6,200,139
13,7,200,135
13,8,200,133
13,9,200,131
13,10,200,134
13,11,200,142
13,12,200,132
13,13,200,138
13,14,239.111375073556,141
13,15,200,136
13,16,200,134
13,17,200,136
13,18,200,134
13,19,200,138
13,20,200,140
13,21,200,134
13,22,200,134
13,23,200,134
13,24,200,141
13,25,200,130
13,26,200,132
13,27,200,136
13,28,200,137
13,29,236.002136652649,141
13,30,200,134
13,31,219.804112292385,137
13,32,274.925378438913,148
13,33,229.214904885776,138
13,34,200,132
13,35,200,134
13,36,200,131
13,37,200,136
13,38,200,137
13,39,200,135
13,40,200,138
13,41,200,135
13,42,200,132
13,43,210.173423319081,137
13,44,248.860335182026,145
13,45,200,135
13,46,265.512329250581,144
13,47,220.91820694096,138
13,48,200,139
13,49,200,144
13,50,205.252781730638,132
14,1,200,133
14,2,200,137
14,3,200,131
14,4,200,136
14,5,200,135
14,6,200.734852797039,136
14,7,265.581836922929,146
14,8,200,136
14,9,200,134
14,10,200,131
14,11,203.365683280334,134
14,12,200,132
14,13,200,133
14,14,200,138
14,15,209.607874413496,130
14,16,200,135
14,17,215.717341128416,139
14,18,200,137
14,19,200,138
14,20,200,135
14,21,200,137
14,22,203.763076164891,138
14,23,200,132
14,24,208.669543432548,133
14,25,200,137
14,26,200,136
14,27,200,138
14,28,200,140
14,29,200,137
14,30,260.232326532851,139
14,31,225.603949633974,143
14,32,200,133
14,33,243.01547934182,140
14,34,200,135
14,35,200,133
14,36,200,143
14,37,224.843090867261,139
14,38,206.275996816222,139
14,39,212.8264803185,137
14,40,200,135
14,41,200,135
14,42,200,131
14,43,200,137
14,44,200,133
14,45,231.338285277053,142
14,46,200,127
14,47,200,135
14,48,200,140
14,49,200,134
14,50,200,137
15,1,200,131
15,2,200,139
15,3,200.471682962268,129
15,4,200,138
15,5,242.930671666699,141
15,6,200,135
15,7,200,128
15,8,200,137
15,9,200,139
15,10,205.143581760939,135
15,11,200,136
15,12,200,138
15,13,243.062349846516,146
15,14,237.535401340342,141
15,15,230.543264841629,142
15,16,200,136
15,17,200,130
15,18,200,138
15,19,200,136
15,20,200,135
15,21,200,138
15,22,200,135
15,23,200,134
15,24,200,133
15,25,200,138
15,26,214.290764468787,140
15,27,226.208732801209,133
15,28,263.337717187304,144
15,29,200,136
15,30,200,134
15,31,245.815863736152,142
15,32,218.470171742086,132
15,33,200,140
15,34,248.623595440514,146
15,35,200,131
15,36,212.788488392495,141
15,37,247.268306247231,137
15,38,200,131
15,39,200,138
15,40,200,135
15,41,237.537156050178,136
15,42,200,134
15,43,200,141
15,44,211.903426276997,134
15,45,275.118079166615,144
15,46,200,137
15,47,200,138
15,48,203.251241961072,129
15,49,200,137
15,50,200,137
16,1,200,139
16,2,232.405078667614,139
16,3,200,136
16,4,200,134
16,5,246.873908615611,149
16,6,200,139
16,7,200,138
16,8,200,139
16,9,222.665919863905,138
16,10,200,132
16,11,213.461254441116,137
16,12,201.980739843696,135
16,13,200,135
16,14,256.322545089962,140
16,15,200,139
16,16,200,137
16,17,253.087913862446,139
16,18,233.060076729878,135
16,19,221.369600841241,141
16,20,200,135
16,21,200,140
16,22,200,133
16,23,200,136
16,24,200,138
16,25,200,133
16,26,200,134
16,27,200,133
16,28,200,141
16,29,200,137
16,30,200,137
16,31,200,135
16,32,200,138
16,33,236.005514480404,136
16,34,200,133
16,35,200,131
16,36,279.118271841929,147
16,37,200,137
16,38,271.931250358802,141
16,39,200,138
16,40,200,133
16,41,200,135
16,42,200,140
16,43,202.355952750322,130
16,44,217.786570018257,141
16,45,260.213535844803,145
16,46,200,135
16,47,271.609783013056,143
16,48,200,140
16,49,200.907222411291,136
16,50,200,133
17,1,200,133
17,2,200,135
17,3,236.351499757478,143
17,4,212.336063368899,138
17,5,291.667143407076,154
17,6,200,131
17,7,200,133
17,8,207.546419256973,132
17,9,200,133
17,10,209.35537493272,140
17,11,200,131
17,12,200,132
17,13,290.727772985109,148
17,14,213.827070693276,139
17,15,200,131
17,16,274.428557939865,142
17,17,200,136
17,18,266.022316649931,141
17,19,200,139
17,20,200,136
17,21,258.556834194375,136
17,22,200,138
17,23,200,136
17,24,237.129339510118,136
17,25,200,138
17,26,213.404905106751,137
17,27,215.349519229588,140
17,28,200,138
17,29,200,133
17,30,200,136
17,31,200,145
17,32,200,136
17,33,200,129
17,34,200,139
17,35,200,135
17,36,200,136
17,37,200,138
17,38,200,136
17,39,251.717059774012,140
17,40,200,137
17,41,200,132
17,42,200,134
17,43,200,138
17,44,200,136
17,45,200,137
17,46,248.534472098849,134
17,47,200,136
17,48,206.457579814862,132
17,49,200,132
17,50,200,135
18,1,200,139
18,2,200,135
18,3,200,135
18,4,203.094398355276,138
18,5,234.475989178096,136
18,6,200,136
18,7,200,129
18,8,200,133
18,9,200,140
18,10,200,128
18,11,243.52809322152,145
18,12,216.531825084744,135
18,13,245.447455587874,137
18,14,200,135
18,15,200,136
18,16,200,136
18,17,200,134
18,18,200,141
18,19,261.586129832178,141
18,20,200,138
18,21,200,141
18,22,200,138
18,23,200,138
18,24,200,137
18,25,209.920526065565,134
18,26,238.127045569949,144
18,27,208.279253394587,137
18,28,200,133
18,29,200,135
18,30,200,134
18,31,200,138
18,32,200,135
18,33,200,136
18,34,200,136
18,35,200,133
18,36,237.318648068755,137
18,37,200,141
18,38,200,139
18,39,200,139
18,40,200,132
18,41,200,135
18,42,200,133
18,43,200,136
18,44,200,135
18,45,200,136
18,46,252.252562511331,142
18,47,200,135
18,48,200,129
18,49,200,132
18,50,200,131
19,1,200,139
19,2,213.822181241059,137
19,3,200,137
19,4,231.759085231889,141
19,5,200,130
19,6,200,135
19,7,200,132
19,8,200,137
19,9,200,138
19,10,200,134
19,11,200,139
19,12,200,134
19,13,200,134
19,14,200,137
19,15,200,135
19,16,200,139
19,17,200,136
19,18,200,133
19,19,200,134
19,20,200,144
19,21,200,139
19,22,200,133
19,23,200,138
19,24,203.068011035799,128
19,25,215.25945770141,133
19,26,200,135
19,27,200,132
19,28,200,135
19,29,227.430999532866,139
19,30,200,137
19,31,200,131
19,32,200,136
19,33,200,133
19,34,200,136
19,35,200,135
19,36,200,141
19,37,200,133
19,38,200,135
19,39,200,133
19,40,200,139
19,41,220.397665441225,138
19,42,200,134
19,43,200,136
19,44,222.812791475493,140
19,45,200,134
19,46,200,135
19,47,200,137
19,48,200,135
19,49,200,136
19,50,212.669685605423,135
20,1,200,138
20,2,200,136
20,3,200,133
20,4,200,136
20,5,210.966591618214,140
20,6,249.299685209343,142
20,7,200,135
20,8,200,135
20,9,268.912809657366,143
20,10,264.417033237149,141
20,11,217.944810349338,129
20,12,200,133
20,13,200,139
20,14,200,132
20,15,202.387837782018,132
20,16,200,132
20,17,200,134
20,18,200,136
20,19,200,140
20,20,200,134
20,21,200,134
20,22,200,134
20,23,200,127
20,24,200,137
20,25,200,137
20,26,200,135
20,27,202.784557071311,131
20,28,200,135
20,29,200,140
20,30,200,138
20,31,200,136
20,32,231.157523339949,140
20,33,200,131
20,34,200,134
20,35,203.830881394732,137
20,36,275.337723900263,141
20,37,200,131
20,38,200,132
20,39,222.951368831317,135
20,40,236.505086587504,144
20,41,200,133
20,42,200,132
20,43,200,133
20,44,200,138
20,45,200,140
20,46,214.653351794842,137
20,47,200,137
20,48,200,135
20,49,290.850353554736,144
20,50,200,140
21,1,200,132
21,2,200,132
21,3,209.840114496759,140
21,4,200,136
21,5,200,132
21,6,200,133
21,7,200,134
21,8,200,131
21,9,200,135
21,10,200,135
21,11,200,133
21,12,200,138
21,13,200,134
21,14,200,131
21,15,228.963951150039,143
21,16,200,134
21,17,201.962355339409,132
21,18,272.106121237325,141
21,19,200,134
21,20,200,131
21,21,202.272317943664,136
21,22,238.499810050841,142
21,23,200,135
21,24,200,135
21,25,213.735645821322,139
21,26,200,133
21,27,200,136
21,28,200,138
21,29,200,134
21,30,200,130
21,31,200,137
21,32,200,133
21,33,272.752890478234,144
21,34,200,131
21,35,252.037344555133,147
21,36,246.350805290693,143
21,37,207.505519010783,136
21,38,200,139
21,39,200,137
21,40,200,135
21,41,249.046972348625,145
21,42,209.765096328486,136
21,43,200,135
21,44,200,137
21,45,200,132
21,46,203.92260154127,133
21,47,223.568217045842,141
21,48,200,135
21,49,200,133
21,50,200,132
22,1,200,135
22,2,223.959773995405,134
22,3,200,135
22,4,200,139
22,5,200,137
22,6,200,133
22,7,200,137
22,8,200,139
22,9,200,137
22,10,204.588327811566,135
22,11,200,136
22,12,200,136
22,13,200,137
22,14,233.738621772611,142
22,15,200,132
22,16,200,131
22,17,209.971156231508,132
22,18,212.659098853629,139
22,19,200,129
22,20,255.118209857021,141
22,21,200,137
22,22,200,137
22,23,200,133
22,24,200,136
22,25,200,134
22,26,200,136
22,27,200,139
22,28,287.777017928657,148
22,29,200,128
22,30,217.333397782006,138
22,31,200,136
22,32,200,137
22,33,200,137
22,34,200,139
22,35,200,131
22,36,213.259092986055,141
22,37,200,129
22,38,200,133
22,39,200,136
22,40,200,133
22,41,221.64188210876,134
22,42,200,133
22,43,200,135
22,44,200,137
22,45,213.519437600355,135
22,46,200,133
22,47,200,133
22,48,203.915014172565,138
22,49,200,134
22,50,200,131
23,1,209.10177979619,140
23,2,200,137
23,3,200,133
23,4,200,135
23,5,200,136
23,6,200,131
23,7,207.547931580146,139
23,8,277.257899825249,144
23,9,200,138
23,10,221.59017798258,133
23,11,200,134
23,12,204.026695570758,137
23,13,245.199189705033,139
23,14,200,133
23,15,257.727576284143,142
23,16,200,134
23,17,200,141
23,18,200,139
23,19,269.660138579812,146
23,20,236.660248696177,140
23,21,230.886978385823,139
23,22,200,134
23,23,200,129
23,24,200,138
23,25,200,135
23,26,200,133
23,27,200,136
23,28,200,141
23,29,200,138
23,30,200,137
23,31,200,131
23,32,266.363638652311,140
23,33,200,139
23,34,200,133
23,35,200,133
23,36,214.94396351444,134
23,37,311.506721037599,148
23,38,272.203296366949,141
23,39,200,129
23,40,200,137
23,41,200,138
23,42,202.265519891609,131
23,43,200,136
23,44,200,135
23,45,200,136
23,46,200,138
23,47,271.247438511307,147
23,48,243.960684361425,138
23,49,200,133
23,50,200,138
24,1,200,131
24,2,206.97008474324,137
24,3,200,134
24,4,200,134
24,5,200,143
24,6,200,139
24,7,200,138
24,8,200,132
24,9,200,132
24,10,200,137
24,11,200,134
24,12,200,134
24,13,200,136
24,14,200,131
24,15,200,134
24,16,200,135
24,17,200,134
24,18,200,134
24,19,200,138
24,20,200,135
24,21,200,136
24,22,200,139
24,23,200,138
24,24,200,133
24,25,247.673684144075,137
24,26,201.001378663659,138
24,27,205.116997957764,135
24,28,200,133
24,29,200,137
24,30,200.3344399082,140
24,31,200,139
24,32,211.750499162877,137
24,33,200,138
24,34,236.41054349925,141
24,35,200,138
24,36,200,136
24,37,204.881537747832,139
24,38,200,137
24,39,200,139
24,40,205.994212172924,134
24,41,200,134
24,42,201.248715992782,131
24,43,200,136
24,44,244.588900974025,140
24,45,200,136
24,46,200,139
24,47,200,145
24,48,200,138
24,49,200,137
24,50,231.005795412535,139
25,1,228.007011899294,136
25,2,200,137
25,3,200,134
25,4,200,134
25,5,200,135
25,6,200,134
25,7,200.779026378989,138
25,8,200,137
25,9,200,134
25,10,200,136
25,11,202.465146245864,135
25,12,216.49944108775,139
25,13,200,133
25,14,295.301028324766,151
25,15,200,137
25,16,200,133
25,17,200,137
25,18,200,134
25,19,200,135
25,20,306.801905102168,143
25,21,200,130
25,22,200,143
25,23,200,135
25,24,200,132
25,25,200,140
25,26,200,130
25,27,200,139
25,28,200,137
25,29,200,134
25,30,200,129
25,31,200,135
25,32,200,134
25,33,215.845046646689,142
25,34,200,137
25,35,200,128
25,36,200,133
25,37,224.585562258713,137
25,38,235.74332370178,138
25,39,200,133
25,40,209.2563836149,137
25,41,200,132
25,42,200,136
25,43,200.565183254575,136
25,44,200,137
25,45,200,135
25,46,200,134
25,47,210.190894088305,141
25,48,200,134
25,49,200,135
25,50,251.61473870355,139
26,1,214.623502528317,135
26,2,200,138
26,3,200,135
26,4,200,130
26,5,200,135
26,6,217.323315811036,139
26,7,231.679511324943,137
26,8,200,138
26,9,200,137
26,10,200,139
26,11,200,139
26,12,200,131
26,13,200,139
26,14,200,133
26,15,231.575226778432,138
26,16,200,129
26,17,200,138
26,18,203.593594543504,134
26,19,200,136
26,20,265.79347785035,141
26,21,200,135
26,22,200,131
26,23,211.760361853424,135
26,24,200,137
26,25,200,132
26,26,200,135
26,27,208.481877902926,138
26,28,200,139
26,29,202.966582271916,133
26,30,200,135
26,31,200,133
26,32,200,139
26,33,203.082125100468,136
26,34,200,140
26,35,200,135
26,36,200.875211008799,133
26,37,200,133
26,38,200,137
26,39,200,134
26,40,200,142
26,41,200,134
26,42,200,140
26,43,200,142
26,44,239.985035719954,144
26,45,283.28642269754,149
26,46,200,140
26,47,210.990642791858,140
26,48,200,139
26,49,200,133
26,50,200,133
27,1,200,133
27,2,216.785602123811,139
27,3,228.140003999283,139
27,4,200,137
27,5,200,136
27,6,200,133
27,7,218.470376368853,137
27,8,228.490829306443,141
27,9,200,144
27,10,258.999478188006,145
27,11,200,137
27,12,200,139
27,13,200,137
27,14,202.63953530598,135
27,15,200,134
27,16,204.042446191146,137
27,17,261.379074975682,147
27,18,200,133
27,19,214.758825594803,137
27,20,200,132
27,21,201.806028291138,132
27,22,200,134
27,23,213.005172201739,145
27,24,200,138
27,25,200,139
27,26,200,133
27,27,200,132
27,28,200,132
27,29,200,138
27,30,200,135
27,31,200,136
27,32,200,133
27,33,200,134
27,34,200,137
27,35,200,140
27,36,200,136
27,37,200,135
27,38,203.875577764954,135
27,39,200,139
27,40,200,142
27,41,247.95497258588,136
27,42,200,134
27,43,200,132
27,44,200,132
27,45,202.612255789145,139
27,46,200,136
27,47,200,131
27,48,200,137
27,49,232.106587137695,138
27,50,200,134
28,1,203.428436952407,137
28,2,200,135
28,3,200,138
28,4,200,134
28,5,257.708667479428,144
28,6,200,135
28,7,200,135
28,8,200,131
28,9,213.633624887239,134
28,10,200,134
28,11,200,131
28,12,200,138
28,13,200,129
28,14,200,133
28,15,200,135
28,16,241.625518385383,145
28,17,258.461054134572,138
28,18,200,135
28,19,200,132
28,20,200,137
28,21,200,138
28,22,218.531459201941,137
28,23,200,133
28,24,200,137
28,25,200,135
28,26,200,136
28,27,214.317823877819,140
28,28,200,135
28,29,200,138
28,30,200,136
28,31,200,135
28,32,200,136
28,33,200,134
28,34,200,138
28,35,200,130
28,36,200,136
28,37,200,134
28,38,200,133
28,39,200,133
28,40,200,139
28,41,204.569537323316,135
28,42,246.588580359488,146
28,43,200,136
28,44,200,132
28,45,200,136
28,46,200,137
28,47,260.15710220789,142
28,48,200,137
28,49,233.545447838032,142
28,50,203.033251897215,138
29,1,258.456103063429,144
29,2,203.221497619952,136
29,3,235.312679230288,138
29,4,200,135
29,5,200,139
29,6,200,133
29,7,201.795327509742,138
29,8,200,133
29,9,200,133
29,10,200,134
29,11,233.407401634979,139
29,12,200,133
29,13,200,135
29,14,206.999756223864,141
29,15,200,137
29,16,200,141
29,17,200,136
29,18,200,133
29,19,214.52979255611,132
29,20,200,130
29,21,221.818554543652,137
29,22,202.58903792719,134
29,23,200,135
29,24,200,136
29,25,200,136
29,26,200,135
29,27,215.400380528268,137
29,28,200,135
29,29,200,138
29,30,200,135
29,31,200,134
29,32,200,134
29,33,200,136
29,34,200,132
29,35,233.144322929585,136
29,36,200,133
29,37,200,137
29,38,200,135
29,39,200,132
29,40,200,139
29,41,200,137
29,42,200,138
29,43,213.201429751686,142
29,44,200,132
29,45,200,138
29,46,200,134
29,47,200,135
29,48,200,133
29,49,202.656955000841,132
29,50,200,141
30,1,200,136
30,2,200,140
30,3,200,133
30,4,268.603632501219,140
30,5,200,138
30,6,209.239468385821,137
30,7,200,138
30,8,215.136709271844,137
30,9,200,137
30,10,200,138
30,11,200,136
30,12,200,132
30,13,200,134
30,14,200,132
30,15,200,134
30,16,200,135
30,17,200,133
30,18,200.845659818035,134
30,19,200,135
30,20,213.034377137168,138
30,21,200,138
30,22,200,134
30,23,200,132
30,24,221.400808343795,138
30,25,243.09723972427,142
30,26,200,137
30,27,200,133
30,28,200,135
30,29,200,133
30,30,200,135
30,31,224.112911516703,138
30,32,222.53145836967,138
30,33,200,134
30,34,200,133
