"datasetID","study","genus","species","woody","provenance.lat","provenance.long","continent","year","fieldchill","fieldsample.date","chilltemp","chillphotoperiod","chilldays","forcetemp","forcetemp_night","photoperiod_day","photoperiod_night","respvar","response","response.time","respvar.simple","Exp_Chilling_Hours","Exp_Utah_Model","Exp_Chill_portions","Field_Chilling_Hours","Field_Utah_Model","Field_Chill_portions","Total_Chilling_Hours","Total_Utah_Model","Total_Chill_portions","forceday","forcenight","photonight","photo","force"
"basler12","exp1","Betula","pendula","yes",46.85,9.53,"europe",2009,"","3-Mar-2009","","","","5","","11","13","daystobudburst","timeonly",25.47,"daystobudburst",NA,NA,NA,1297,1194.5,89.6547488698292,1297,1194.5,89.6547488698292,5,NA,13,11,5
"basler12","exp1","Betula","pendula","yes",46.2,7.033,"europe",2009,"","3-Mar-2009","","","","5","","9.5","14.5","daystobudburst","timeonly",24.62,"daystobudburst",NA,NA,NA,1345,1234.5,81.8044874041654,1345,1234.5,81.8044874041654,5,NA,14.5,9.5,5
"basler12","exp1","Betula","pendula","yes",46.85,9.53,"europe",2009,"","3-Mar-2009","","","","5","","11","13","daystobudburst","timeonly",24.06,"daystobudburst",NA,NA,NA,1297,1194.5,89.6547488698292,1297,1194.5,89.6547488698292,5,NA,13,11,5
"basler12","exp1","Betula","pendula","yes",46.2,7.033,"europe",2009,"","3-Mar-2009","","","","5","","9.5","14.5","daystobudburst","timeonly",30.28,"daystobudburst",NA,NA,NA,1345,1234.5,81.8044874041654,1345,1234.5,81.8044874041654,5,NA,14.5,9.5,5
"basler12","exp1","Betula","pendula","yes",46.85,9.53,"europe",2009,"","3-Mar-2009","","","","5","","11","13","daystobudburst","timeonly",30.28,"daystobudburst",NA,NA,NA,1297,1194.5,89.6547488698292,1297,1194.5,89.6547488698292,5,NA,13,11,5
"basler12","exp1","Betula","pendula","yes",46.2,7.033,"europe",2009,"","3-Mar-2009","","","","5","","9.5","14.5","daystobudburst","timeonly",30.38,"daystobudburst",NA,NA,NA,1345,1234.5,81.8044874041654,1345,1234.5,81.8044874041654,5,NA,14.5,9.5,5
"basler12","exp1","Betula","pendula","yes",46.85,9.53,"europe",2009,"","3-Mar-2009","","","","5","","11","13","daystobudburst","timeonly",28.49,"daystobudburst",NA,NA,NA,1297,1194.5,89.6547488698292,1297,1194.5,89.6547488698292,5,NA,13,11,5
"basler12","exp1","Betula","pendula","yes",46.2,7.033,"europe",2009,"","3-Mar-2009","","","","meandaily","","9.5","14.5","degreedaystobudburst","timeonly",202.08,"thermaltime",NA,NA,NA,1345,1234.5,81.8044874041654,1345,1234.5,81.8044874041654,NA,NA,14.5,9.5,NA
"basler12","exp1","Betula","pendula","yes",46.85,9.53,"europe",2009,"","3-Mar-2009","","","","meandaily","","11","13","degreedaystobudburst","timeonly",200.89,"thermaltime",NA,NA,NA,1297,1194.5,89.6547488698292,1297,1194.5,89.6547488698292,NA,NA,13,11,NA
"basler12","exp1","Betula","pendula","yes",46.2,7.033,"europe",2009,"","3-Mar-2009","","","","meandaily","","9.5","14.5","degreedaystobudburst","timeonly",108.17,"thermaltime",NA,NA,NA,1345,1234.5,81.8044874041654,1345,1234.5,81.8044874041654,NA,NA,14.5,9.5,NA
"basler12","exp1","Betula","pendula","yes",46.85,9.53,"europe",2009,"","3-Mar-2009","","","","meandaily","","11","13","degreedaystobudburst","timeonly",105.8,"thermaltime",NA,NA,NA,1297,1194.5,89.6547488698292,1297,1194.5,89.6547488698292,NA,NA,13,11,NA
"basler12","exp1","Betula","pendula","yes",46.2,7.033,"europe",2009,"","3-Mar-2009","","","","meandaily","","9.5","14.5","degreedaystobudburst","timeonly",140.27,"thermaltime",NA,NA,NA,1345,1234.5,81.8044874041654,1345,1234.5,81.8044874041654,NA,NA,14.5,9.5,NA
